wall,sim,status,arm_joint1,arm_joint2,arm_joint3,arm_joint4,arm_joint5,r_joint,cube_z,tcp_z,cube_tcp,cube_right,cube_left
0.5907,161.6880,Opening gripper and moving camera/gripper to the visually aligned cube,0.000237,6.523264,1.215034,1.674120,0.000180,-5.283184,0.020000,0.175480,0.190059,0.204823,0.203846
0.6072,161.7080,Opening gripper and moving camera/gripper to the visually aligned cube,0.000237,6.523264,1.215034,1.674120,0.000180,-5.283184,0.020000,0.174402,0.188820,0.203545,0.202590
0.6270,161.7280,Opening gripper and moving camera/gripper to the visually aligned cube,0.000231,6.563267,1.199326,1.667837,0.000177,-5.283184,0.020000,0.171178,0.185077,0.199693,0.198802
0.6471,161.7480,Opening gripper and moving camera/gripper to the visually aligned cube,0.000229,6.583268,1.190940,1.664482,0.000175,-5.283184,0.020000,0.169033,0.182557,0.197110,0.196260
0.6670,161.7680,Opening gripper and moving camera/gripper to the visually aligned cube,0.000229,6.583268,1.190940,1.664482,0.000175,-5.283184,0.020000,0.166888,0.180017,0.194512,0.193702
0.6873,161.7880,Opening gripper and moving camera/gripper to the visually aligned cube,0.000223,6.623270,1.173155,1.657366,0.000172,-5.283184,0.020000,0.164742,0.177456,0.191898,0.191129
0.7066,161.8080,Opening gripper and moving camera/gripper to the visually aligned cube,0.000223,6.623270,1.173155,1.657366,0.000172,-5.283184,0.020000,0.163668,0.176167,0.190586,0.189837
0.7268,161.8280,Opening gripper and moving camera/gripper to the visually aligned cube,0.000216,6.663273,1.154089,1.649738,0.000168,-5.283184,0.020000,0.160436,0.172266,0.186624,0.185933
0.7465,161.8480,Opening gripper and moving camera/gripper to the visually aligned cube,0.000216,6.663273,1.154089,1.649738,0.000168,-5.283184,0.020000,0.158272,0.169636,0.183961,0.183308
0.7686,161.8680,Opening gripper and moving camera/gripper to the visually aligned cube,0.000209,6.703275,1.133822,1.641629,0.000165,-5.283184,0.020000,0.156100,0.166983,0.181281,0.180666
0.7904,161.8880,Opening gripper and moving camera/gripper to the visually aligned cube,0.000206,6.723276,1.123265,1.637405,0.000363,-5.283184,0.020000,0.153916,0.164307,0.178585,0.178003
0.8079,161.9080,Opening gripper and moving camera/gripper to the visually aligned cube,0.000202,6.743277,1.112438,1.633073,0.000179,-5.283183,0.020000,0.151720,0.161606,0.175869,0.175326
0.8278,161.9280,Opening gripper and moving camera/gripper to the visually aligned cube,0.000198,6.763278,1.101352,1.628637,0.000165,-5.283183,0.020000,0.149510,0.158883,0.173135,0.172630
0.8462,161.9480,Opening gripper and moving camera/gripper to the visually aligned cube,0.000194,6.783279,1.090018,1.624101,0.000160,-5.283183,0.020000,0.147285,0.156136,0.170383,0.169915
0.8680,161.9680,Opening gripper and moving camera/gripper to the visually aligned cube,0.000194,6.783279,1.090018,1.624101,0.000160,-5.283183,0.020000,0.146206,0.154775,0.169018,0.168572
0.8854,161.9880,Opening gripper and moving camera/gripper to the visually aligned cube,0.000174,6.803279,1.078438,1.619471,0.000149,-5.283183,0.020000,0.142822,0.150604,0.164842,0.164454
0.9068,162.0080,Opening gripper and moving camera/gripper to the visually aligned cube,0.000185,6.843282,1.054627,1.609939,0.000147,-5.283183,0.020000,0.140545,0.147792,0.162039,0.161687
0.9253,162.0280,Opening gripper and moving camera/gripper to the visually aligned cube,0.000185,6.843282,1.054627,1.609939,0.000147,-5.283183,0.020000,0.139437,0.146399,0.160648,0.160318
0.9458,162.0480,Opening gripper and moving camera/gripper to the visually aligned cube,0.000176,6.883283,1.029980,1.600074,0.000137,-5.283182,0.020000,0.135968,0.142133,0.156398,0.156126
