wall,sim,status,arm_joint1,arm_joint2,arm_joint3,arm_joint4,arm_joint5,r_joint,cube_z,tcp_z,cube_tcp,cube_right,cube_left
1.3264,207.1680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.181582,1.118675,1.635558,0.000116,1.000001,0.020000,0.261356,0.266385,0.285604,0.280281
1.3687,207.1880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.161581,1.107446,1.631065,0.000114,1.000001,0.020000,0.260196,0.263692,0.282929,0.277587
1.4100,207.2080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.141581,1.095948,1.626464,0.000113,1.000001,0.020000,0.259425,0.261906,0.281154,0.275800
1.4483,207.2280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.121581,1.084192,1.621760,0.000111,1.000001,0.020000,0.258654,0.260127,0.279385,0.274018
1.4903,207.2480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.101580,1.072190,1.616958,0.000109,1.000001,0.020000,0.257880,0.258355,0.277621,0.272242
1.5259,207.2680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.081580,1.059952,1.612061,0.000107,1.000001,0.020000,0.257492,0.257470,0.276741,0.271355
1.5676,207.2880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.061580,1.047490,1.607074,0.000106,1.000001,0.020000,0.256314,0.254823,0.274105,0.268699
1.6067,207.3080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.041580,1.034815,1.602002,0.000104,1.000001,0.020000,0.255917,0.253943,0.273227,0.267815
1.6476,207.3280,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.021580,1.021938,1.596848,0.000102,1.000001,0.020000,0.255114,0.252185,0.271474,0.266049
1.6920,207.3480,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,-0.001581,1.008869,1.591619,0.000100,1.000001,0.020000,0.253884,0.249552,0.268846,0.263402
1.7263,207.3680,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,0.018420,0.995621,1.586317,0.000098,1.000001,0.020000,0.253044,0.247799,0.267094,0.261636
1.7680,207.3880,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,0.038420,0.982204,1.580948,0.000096,1.000001,0.020000,0.252184,0.246046,0.265341,0.259870
1.8061,207.4080,Opening gripper and moving camera/gripper to the visually aligned cube,-0.000093,0.058420,0.968630,1.575516,0.000094,1.000001,0.020000,0.251746,0.245170,0.264464,0.258986
