wall,sim,status,arm_joint1,arm_joint2,arm_joint3,arm_joint4,arm_joint5,r_joint,cube_z,tcp_z,cube_tcp,cube_right,cube_left
6.3962,185.0780,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000367,-7.099321,-7.459109,0.323712,-0.000044,0.759998,0.020000,0.207321,0.648583,0.638674,0.641846
6.4155,185.0980,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000366,-7.087266,-7.467146,0.311545,-0.000044,0.759998,0.020000,0.207493,0.648170,0.638282,0.641441
6.4362,185.1180,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000366,-7.075242,-7.475162,0.299410,-0.000044,0.759998,0.020000,0.207827,0.647325,0.637466,0.640621
6.4578,185.1380,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000365,-7.063250,-7.483157,0.287307,-0.000044,0.759998,0.020000,0.208150,0.646455,0.636628,0.639778
6.4801,185.1580,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000364,-7.051291,-7.491130,0.275237,-0.000043,0.759998,0.020000,0.208461,0.645562,0.635766,0.638912
6.4978,185.1780,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000363,-7.039368,-7.499079,0.263203,-0.000043,0.759998,0.020000,0.208760,0.644647,0.634883,0.638024
6.5224,185.1980,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000362,-7.027480,-7.507004,0.251205,-0.000043,0.759998,0.020000,0.209188,0.643231,0.633512,0.636655
6.5390,185.2180,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000362,-7.015631,-7.514904,0.239247,-0.000043,0.759998,0.020000,0.209324,0.642749,0.633053,0.636182
6.5588,185.2380,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000361,-7.003822,-7.522777,0.227328,-0.000043,0.759998,0.020000,0.209589,0.641768,0.632107,0.635230
6.5848,185.2580,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000360,-6.992054,-7.530623,0.215450,-0.000043,0.759998,0.020000,0.209964,0.640257,0.630643,0.633769
6.5968,185.2780,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000359,-6.980328,-7.538440,0.203616,-0.000043,0.759998,0.020000,0.210084,0.639744,0.630154,0.633266
6.6202,185.2980,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000359,-6.968646,-7.546228,0.191826,-0.000042,0.759998,0.020000,0.210313,0.638702,0.629149,0.632254
6.6373,185.3180,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000358,-6.957010,-7.553985,0.180082,-0.000042,0.759998,0.020000,0.210532,0.637641,0.628125,0.631224
6.6581,185.3380,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000357,-6.945421,-7.561711,0.168385,-0.000042,0.759999,0.020000,0.210739,0.636561,0.627083,0.630176
6.6775,185.3580,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000356,-6.933881,-7.569405,0.156738,-0.000042,0.759999,0.020000,0.211027,0.634907,0.625481,0.628575
6.6967,185.3780,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000356,-6.922391,-7.577065,0.145141,-0.000042,0.759999,0.020000,0.211118,0.634348,0.624948,0.628026
6.7170,185.3980,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000355,-6.910952,-7.584691,0.133597,-0.000042,0.759999,0.020000,0.211290,0.633215,0.623855,0.626927
6.7369,185.4180,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000354,-6.899567,-7.592281,0.122106,-0.000042,0.759999,0.020000,0.211451,0.632066,0.622747,0.625811
6.7566,185.4380,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000354,-6.888237,-7.599835,0.110671,-0.000042,0.759999,0.020000,0.211601,0.630902,0.621623,0.624680
6.7774,185.4580,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000353,-6.876963,-7.607351,0.099292,-0.000042,0.759999,0.020000,0.211740,0.629722,0.620485,0.623534
6.7967,185.4780,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000353,-6.865746,-7.614829,0.087972,-0.000042,0.759999,0.020000,0.211868,0.628528,0.619332,0.622374
6.8178,185.4980,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000352,-6.854589,-7.622267,0.076711,-0.000042,0.759999,0.020000,0.212039,0.626709,0.617572,0.620613
6.8384,185.5180,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000352,-6.843493,-7.629665,0.065512,-0.000042,0.759999,0.020000,0.212140,0.625482,0.616387,0.619420
6.8584,185.5380,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000351,-6.832459,-7.637021,0.054376,-0.000042,0.759999,0.020000,0.212187,0.624864,0.615797,0.618815
6.8796,185.5580,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000350,-6.821489,-7.644334,0.043304,-0.000042,0.759999,0.020000,0.213828,0.623323,0.614260,0.617294
6.8976,185.5780,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.001767,-6.809871,-7.651605,0.032215,-0.000520,0.760017,0.020000,0.213615,0.622445,0.613510,0.616469
6.9220,185.5980,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000715,-6.799707,-7.658731,0.021463,-0.000319,0.760001,0.020000,0.213395,0.620968,0.612091,0.615052
6.9417,185.6180,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000392,-6.789008,-7.665934,0.010606,-0.000250,0.760003,0.020000,0.213325,0.619598,0.610770,0.613730
6.9670,185.6380,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,0.000228,-6.778325,-7.673078,-0.000260,-0.000204,0.760003,0.020000,0.213273,0.617584,0.608819,0.611785
6.9839,185.6580,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000143,-6.767705,-7.680171,-0.010945,-0.000171,0.760004,0.020000,0.213263,0.616917,0.608177,0.611136
7.0048,185.6780,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000196,-6.757155,-7.687212,-0.021606,-0.000149,0.760004,0.020000,0.213240,0.614922,0.606248,0.609198
7.0293,185.6980,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000079,-6.746678,-7.694202,-0.032188,-0.000134,0.760004,0.020000,0.213226,0.613592,0.604962,0.607902
7.0434,185.7180,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000081,-6.736276,-7.701140,-0.042692,-0.000124,0.760005,0.020000,0.213218,0.612926,0.604320,0.607252
7.0633,185.7380,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000084,-6.725950,-7.708027,-0.053117,-0.000119,0.760005,0.020000,0.213188,0.610925,0.602382,0.605303
7.0879,185.7580,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000085,-6.715703,-7.714860,-0.063461,-0.000116,0.760005,0.020000,0.213161,0.609587,0.601087,0.603998
7.1079,185.7780,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000085,-6.705535,-7.721639,-0.073724,-0.000114,0.760005,0.020000,0.213128,0.608245,0.599790,0.602689
7.1233,185.7980,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000085,-6.695450,-7.728364,-0.083903,-0.000113,0.760005,0.020000,0.213108,0.607574,0.599141,0.602032
7.1484,185.8180,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000086,-6.685448,-7.735033,-0.093999,-0.000113,0.760005,0.020000,0.213039,0.605554,0.597186,0.600063
7.1724,185.8380,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000086,-6.675531,-7.741644,-0.104008,-0.000113,0.760005,0.020000,0.212984,0.604206,0.595881,0.598746
7.1889,185.8580,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000086,-6.665701,-7.748199,-0.113930,-0.000112,0.760005,0.020000,0.212954,0.603531,0.595230,0.598085
7.2085,185.8780,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000086,-6.655958,-7.754694,-0.123762,-0.000112,0.760005,0.020000,0.212852,0.601505,0.593267,0.596109
7.2280,185.8980,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000087,-6.646305,-7.761130,-0.133505,-0.000112,0.760005,0.020000,0.212814,0.600829,0.592615,0.595447
7.2497,185.9180,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000087,-6.636744,-7.767504,-0.143155,-0.000111,0.760005,0.020000,0.212734,0.599478,0.591308,0.594128
7.2681,185.9380,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000087,-6.627274,-7.773817,-0.152712,-0.000110,0.760005,0.020000,0.212646,0.598128,0.590002,0.592810
7.2935,185.9580,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000088,-6.617899,-7.780068,-0.162174,-0.000110,0.760005,0.020000,0.212552,0.596780,0.588697,0.591493
7.3092,185.9780,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000088,-6.608620,-7.786254,-0.171539,-0.000109,0.760005,0.020000,0.212452,0.595433,0.587395,0.590178
7.3330,185.9980,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000088,-6.599438,-7.792376,-0.180806,-0.000108,0.760005,0.020000,0.212345,0.594090,0.586095,0.588867
7.3539,186.0180,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000089,-6.590355,-7.798432,-0.189974,-0.000107,0.760005,0.020000,0.212174,0.592082,0.584150,0.586908
7.3826,186.0380,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000089,-6.581372,-7.804421,-0.199040,-0.000106,0.760005,0.020000,0.212114,0.591415,0.583507,0.586255
7.4073,186.0580,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000089,-6.572490,-7.810342,-0.208004,-0.000105,0.760005,0.020000,0.211990,0.590084,0.582220,0.584956
7.4288,186.0780,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000089,-6.563712,-7.816194,-0.216864,-0.000104,0.760004,0.020000,0.211861,0.588759,0.580938,0.583663
7.4603,186.0980,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000090,-6.555039,-7.821976,-0.225618,-0.000103,0.760004,0.020000,0.211658,0.586783,0.579025,0.581736
7.4746,186.1180,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000090,-6.546472,-7.827688,-0.234264,-0.000102,0.760004,0.020000,0.211517,0.585475,0.577760,0.580460
7.5049,186.1380,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000090,-6.538013,-7.833328,-0.242802,-0.000101,0.760004,0.020000,0.211445,0.584824,0.577132,0.579823
7.5259,186.1580,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000090,-6.529663,-7.838894,-0.251229,-0.000100,0.760004,0.020000,0.211298,0.583528,0.575879,0.578559
7.5458,186.1780,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000091,-6.521424,-7.844387,-0.259544,-0.000099,0.760004,0.020000,0.211147,0.582241,0.574635,0.577304
7.5644,186.1980,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000091,-6.513297,-7.849805,-0.267746,-0.000098,0.760004,0.020000,0.210992,0.580963,0.573400,0.576058
7.5881,186.2180,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000091,-6.505285,-7.855147,-0.275834,-0.000097,0.760004,0.020000,0.210754,0.579067,0.571564,0.574210
7.6058,186.2380,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000091,-6.497387,-7.860412,-0.283804,-0.000096,0.760004,0.020000,0.210673,0.578440,0.570960,0.573598
7.6308,186.2580,Grasp descent wrist guard stopped collision rotation: joint5=-0.035 rad; limit=0.035 rad; backing off to the recent pre-contact approach pose,-0.000091,-6.489607,-7.865599,-0.291657,-0.000095,0.760004,0.020000,0.210426,0.576577,0.569158,0.571784
